ritual_number,ritual_name,feature_label,coder1,coder2,disagreement_type,text_excerpt
Ritual509,NA,Synchronous Dancing,1,0,Coder1 Only,-
Ritual52,Là na Ceísd (The Day of the Question),Synchronous Dancing,1,0,Coder1 Only,The Friday of Communion Week is observed as ‘ Là na Ceísd ’ (‘The Day of the Question’). The service takes the form of public discussion of a text or a religious problem. It is extemporary and unrehea
Ritual550,NA,Synchronous Dancing,1,0,Coder1 Only,-
Ritual551,NA,Synchronous Dancing,1,0,Coder1 Only,-
Ritual56,Funerary Proceedings: Death and Funerals,Synchronous Dancing,1,0,Coder1 Only,"Death and Funerals

When a boróro is already not eating and, his condition worsening, the bari has already pronounced death very close, the relatives anoint the entire body with urucú, decorate it wit"
Ritual561,Spirit Possession Ceremony,Synchronous Dancing,1,0,Coder1 Only,"Spirit Possession (Kubandwa)

It is certain that in most societies there has been some form of worship of the supernatural, just as there was spirit worship in Bunyoro.

In Bunyoro the practice of Mba"
Ritual562,Initiation Feast,Synchronous Dancing,1,0,Coder1 Only,Now let us try to understand what takes place during the spirit possession (kubandwa) ceremony. The initiation into the Mbandwa cult was always accompanied by a great deal of feasting. For a household
Ritual586,"Hadz Pach, Novenarios for Patron Saint",Synchronous Dancing,1,0,Coder1 Only,"The ceremony known as hadz pach (“strike the back”) takes place after the corrida ends. At the first jarana the girl-dancers wear men's hats; at the remaining three, they do not. But after the corrida"
Ritual625,Osaka,Synchronous Dancing,1,0,Coder1 Only,"Men are the musicians, and among these a high degree of specialization is observed. In a large village there are likely to be only a few competent drummers, and only a few men who play the small iron-"
Ritual639,Biannual Ceremony of Female pŭ tsho,Synchronous Dancing,1,0,Coder1 Only,"Biannual Ceremony of the Tamgsangmu pŭ tsho

On a fixed date a male member of the pŭ tsho selects a red cock for the ceremony to be celebrated at the beginning of the next season. He cleans the beak a"
Ritual69a,Apo festival,Synchronous Dancing,1,0,Coder1 Only,"Festivals

Many festivals exist among the Akan; their foundations and functions are found in the traditional religion. The Apo[unavailable] festival is celebrated yearly among the Brong; it is a feast"
Ritual70a,Bono Festival; the Yam Festival,Synchronous Dancing,1,0,Coder1 Only,"Festivals

Many festivals exist among the Akan; their foundations and functions are found in the traditional religion. The Apo[unavailable] festival is celebrated yearly among the Brong; it is a feast"
Ritual71a,Monocot Ceremony,Synchronous Dancing,1,0,Coder1 Only,"Festivals

Many festivals exist among the Akan; their foundations and functions are found in the traditional religion. The Apo[unavailable] festival is celebrated yearly among the Brong; it is a feast"
Ritual78,Uiwataki Mesa Loqaña (Animal Increase Rite),Synchronous Dancing,1,0,Coder1 Only,"Animal Increase Rite, uiwataki mesa loqaña, “ To Offer a mesa for the Animals ”

Animal increase rites, in one form or another, are practiced widely by the contemporary Aymara of both Peru and Bolivia"
Ritual8,sun god ceremony,Synchronous Dancing,1,0,Coder1 Only,-
Ritual80,First Fruit Ritual,Synchronous Dancing,1,0,Coder1 Only,"First Fruit Rite, manq'ataki loqaña p'awaqa, “ to make an offering to the food ”

Writing soon after the Conquest, Cieza de León described the potato harvest rite as one of the most important Aymara c"
Ritual81,Divinatory Agricultural Rite,Synchronous Dancing,1,0,Coder1 Only,"A second rite, which does not necessarily require the services of a magician, is performed for the growing potatoes during Carnival. The owner of a field burns coca, llama fat, and q'oa in a ring of m"
Ritual101,The First Woodland Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"The First Woodland Ceremony

Taking them out to the bush (ukufumisha banacisungu mumpanga) . On the seventh day we were all summoned to the hut at about nine in the morning. The banacisungu were bundl"
Ritual103,Ritual Lighting (?),Synchronous Generic Movement,0,1,Coder2 Only,"On important ritual occasions, such as the ‘warming’ of a new village site, the installation of a chief, a marriage, a death, or the protection rites for a young child, the old fire must be extinguish"
Ritual105,Eleventh Day,Synchronous Generic Movement,1,0,Coder1 Only,"Eleventh Day The Festive Porridge Easting (bwali bwa ukuangala)

I was called in the middle of the morning to see an enormous cooking-pot full of water being set on the fire in the hut of the mother o"
Ritual109,Rites of the Last Night,Synchronous Generic Movement,1,0,Coder1 Only,"Rites of the Last Night

The blind bridegroom

We were called to the initiation hut at about eight o’clock in the evening. A big fire was lit on the hearth and water was already bubbling in three grea"
Ritual113,Rite of Purification,Synchronous Generic Movement,1,0,Coder1 Only,"The purification of the priest.

Since sex intercourse makes it impossible to approach the imipashi or to enter their shrines, the ritual purification of the officiating priest and his wife, after the"
Ritual120a,The Cutting (Kuaq-tng),Synchronous Generic Movement,1,0,Coder1 Only,The most fundamental difference between the hall and the grave is that the grave is where the corpse of the dead person is located. Although an ancestor's soul is said to be present sometimes at the h
Ritual122,Am-hang,Synchronous Generic Movement,1,0,Coder1 Only,"One event that seems quintessentially Lukang is am-hang , a nocturnal procession of deities, mostly Ong Ia, for the purpose of expelling malign influences from an area. It is an occasional rite that c"
Ritual124,Merit-Making / Funeral Rituals (kong-tik),Synchronous Generic Movement,1,0,Coder1 Only,"Fat Thuan is Buried

Ong Thuan had once been the fattest man and the best drinker in Ploughshare, but he developed diabetes in his late forties, becoming too debilitated to do any work. Hence it was n"
Ritual126,Prophylactic Exorcism Rite (Shiehtuu),Synchronous Generic Movement,1,0,Coder1 Only,"Exorcism: The Shiehtuu

When the rite of passing through oil is performed in connection with a god's birthday, it is a prophylactic rite, and its performance is primarily a drama of what the god would"
Ritual128,Spirit Writing Seance,Synchronous Generic Movement,1,0,Coder1 Only,"The Spirit Writing Seance

The whole reason for being of the cult is to communicate with the gods, the representatives of the Jade Emperor's celestial bureaucracy. The gods are not only the source of "
Ritual129,Ritual during pai-pai commemoration of deity,Synchronous Generic Movement,1,0,Coder1 Only,"In midmorning, the lo cu and a few assistants enter the temple of Tho Te Kong to formally invite him and his spouse to come out and enjoy their festival. His consent to being moved about is sought thr"
Ritual130,Ritual to encourage fertility,Synchronous Generic Movement,1,0,Coder1 Only,"God, creator, head of this place,
who changes a bowl of leaves into food,
who changes a bowl of millet into leaves,
God, creator, who changes everything,
The day has passed, God,
the shadow of the eve"
Ritual135,Dama Ritual Day 1,Synchronous Generic Movement,1,0,Coder1 Only,"Celebration of the Dama

First day. — The first day of the Dama is called warsigiri (5). It coincides with that of the Sanga market.

At sunrise the cry of the masks makes itself heard at Songoulou. I"
Ritual139,Kava Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Kava Ceremony

Kava drinking is part of all important ceremonials. It is indispensable in rites connected with the chief--his death, marriage, circumcision; the reception of a visiting chief; and the "
Ritual145,First Fruits Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"First Fruits

The ceremonial presentation pattern is a variation on the one formerly used for the offering of the first fruits of the land ( sevu ni vanua ) to the priest at the god house. Today first"
Ritual151,The Festival in Memory of the Dead (patapáanomão),Synchronous Generic Movement,1,0,Coder1 Only,"Religious Festivals

Every year, toward the end of the dry season, March-April, the Surára and Pakidái jointly celebrate the festival in memory of the dead -- patapáanomão -- . It always takes place i"
Ritual152,Magical Cure,Synchronous Generic Movement,1,0,Coder1 Only,"b) Magic cure ( rekurá ) for Xunamí: c) Magic cure ( rekurá ) for Xanimá:

Xunamí, the young, pretty wife of Kurikayawö, fell ill quite suddenly. She had a high fever, lay apathetically in her hammock"
Ritual154,Rain Magic,Synchronous Generic Movement,1,0,Coder1 Only,"Rain Magic

Although the Surára and Pakidái appreciate rain more than too strong a radiation from the sun , there are occasions when it is not needed, for example, before hunting expeditions or during"
Ritual159,5 Daily Prayers,Synchronous Generic Movement,1,0,Coder1 Only,"As we know, the five pillars of Islam are: The confession of faith, the five daily eulogies of Allah, generally known as the five daily “prayers”, the duty to give aims, the fast in the 9th month, and"
Ritual160,Pilgrimage to Mecca,Synchronous Generic Movement,1,0,Coder1 Only,"We have now reached the fifth and last pillar of Islam, the pilgrimage, in the 12th lunar month. The Coran says in Sure 3, verse 97, that “pilgrimage to the House is a duty unto Allah for mankind, for"
Ritual167,"Purification Ceremony, koyadanattí",Synchronous Generic Movement,1,0,Coder1 Only,"As soon as it became clear that the patient could not recover and that death was imminent, the female relatives of the sick man began loudly to wail and shout. At the same moment as he breathed his la"
Ritual175,General Ritual Elements,Synchronous Generic Movement,1,0,Coder1 Only,"Of Rites in General

General Ritual Elements. The ritual acts that enter into every complete rite are:

Gonob, the invocation of ancestors or deities by name.

Duyun, charge or “prayer” to the deities"
Ritual178,"Third Day of the Ipad. Punhicha′an, the Banquet (A) The Chalo′ng Rite",Synchronous Generic Movement,1,0,Coder1 Only,"Third Day of the Ipad. Punhicha′an, the Banquet (A) The Chalo′ng Rite

Early in the morning, as soon as the landscape is visible ( mati′go chi lu′ta) three men and a boy, — mostly relatives or neighbo"
Ritual18,Chesa (?),Synchronous Generic Movement,1,0,Coder1 Only,"The Care and Feeding of Ancestors

The father's sister is a restless ancestor.
The mother's sister is a restless ancestor.
Ky[unknown] onggi shaman chant

A division of labor bisects the ritual life o"
Ritual182,Fifth Day of the I′pad: The Ala′wit Sacrifice,Synchronous Generic Movement,1,0,Coder1 Only,"Fifth Day of the I′pad: The Ala′wit Sacrifice

The Ala′wit sacrifice is the complement of the solemn Pa′hang or the I′pad. During the feast a great quantity of rice has been consumed, and now they see"
Ritual186,"First Grand Inaugural Act, Ceremony",Synchronous Generic Movement,1,0,Coder1 Only,"On the morning of the day before the ceremony, the village is early astir. Two parties are setting off for a day's expedition. Most of the young men of the village prepare their baskets, fill them wit"
Ritual187,"First Grand Inaugural Act, Charming of the Axes",Synchronous Generic Movement,1,0,Coder1 Only,"After the magician has had his share of fish and the men have rested and eaten their meal, the first magical net of the whole system takes place. All the men bring their axes to the magician, who lays"
Ritual188,"First Grand Inaugural Act, Procession to Gardens",Synchronous Generic Movement,1,0,Coder1 Only,"Early next morning all the men of the village again assemble in front of the magician's but, who, unable to sleep for the excitement of the occasion and the preparations before him, has himself risen "
Ritual189,"Second Grand Inaugural Act, Days 1 and 2",Synchronous Generic Movement,1,0,Coder1 Only,"The Second Grand Inaugural Act: The Ritual Burning of the Gardens

This complex set of gardening activities, to which we shall return presently, is inaugurated by a four-fold magical ceremony. At this"
Ritual19,Ki-je,Synchronous Generic Movement,1,0,Coder1 Only,"Ancestor Worship by the Family Head

While worship of the household gods is the domain of the housewife, ancestor worship devolves upon the family head. From early childhood a first-born male learns t"
Ritual190,"Second Grand Inaugural Act, Day 3",Synchronous Generic Movement,1,0,Coder1 Only,"The rite of the third day, called by the strange name pelaka'ukwa (lit. “dog's excrement”), consists in the planting of a taro. Bagido'u goes to the leywota , accompanied by helpers who carry large bu"
Ritual191,"Second Grand Inaugural Act, Day 4",Synchronous Generic Movement,1,0,Coder1 Only,"On the fourth day a double rite is performed exactly on the spot where the first taro has been planted on the previous day. In the first of these rites, which is called kalimamata , a seed tuber of a "
Ritual192,"Funeral, Phase 1",Synchronous Generic Movement,1,0,Coder1 Only,"Phase 1: Yawari (Crying)

It is a truism that sound, for example, speech, provides a very efficient means of communication. Even the absence of certain sounds can be effective. The sounds that fill a "
Ritual195,Momparilangka,Synchronous Generic Movement,1,0,Coder1 Only,"Momparilangka

Similar to the head-hunting ritual, in many respects was the momparilangka or mompakawurake, an initiation ceremony for girls. According to the first edition the first of these names wa"
Ritual205,Molanggo,Synchronous Generic Movement,1,0,Coder1 Only,"They day before the rice was planted a big feast, molanggo , was given at which a large number of gods and spirits were invoked. It was sometimes said that it served to “bring the anitu and the lamoa "
Ritual217,Minor Potlatch,Synchronous Generic Movement,0,1,Coder2 Only,"The feasting and dancing that preceded the distribution of property might continue for several days. The dancers, dressed in ceremonial blankets or skin clothing, carried rattles, eagle tails, bows, s"
Ritual237,Young Corn Plant Ritual,Synchronous Generic Movement,1,0,Coder1 Only,"Young Corn Plant Ritual

The seed from the sacred ears of corn kept in the bundles was planted in particular mounds. The growth of this corn was carefully watched; and when the stalks reached a height"
Ritual239,Human Sacrifice to the Morning Star,Synchronous Generic Movement,1,0,Coder1 Only,"The Vision and the Capture

The human sacrifice was not carried on every year. Only when a man had a vision of the Morning Star commanding him to do so was it made. It was known by the older people th"
Ritual23a,"Ritual cleaning of the grove, Baha festival",Synchronous Generic Movement,1,0,Coder1 Only,"The festival commences with the villagers washing and the priest, the godet or messenger and a few others going down to the grove in the morning to get it ready for the rites. They put up two sheds of"
Ritual255,"Girls' puberty rites, Inna rites",Synchronous Generic Movement,1,0,Coder1 Only,"Puberty Rites and Festivities

The focus of the third Kuna ritual tradition is an important stage in the life cycle of a woman, puberty. Girls’ puberty rites—called inna rites, after the fermented dri"
Ritual265,Funeral,Synchronous Generic Movement,1,0,Coder1 Only,"The most important festivity for any person is his cremation, as distinct from his death. Except for special emergencies, the two are ordinarily separated by a time span varying from one hundred days "
Ritual267,Kathin Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Thaud Kathin: This is the first post-Lenten festival and is one of the largest and gayest. Though most major wat ceremonies fall on the 15th day of the waxing or waning moon—holy days, Thaud Kathin ta"
Ritual268,Phapa Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Phapa: The Phapa ceremonies occur from the end of Lent until the harvest season. In 1953, Wat Banghuad received three Phapas. In contrast to all other ceremonies and rituals, the Phapa is the one occa"
Ritual269,Makhabucha Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Makhabucha: The next Buddhist ceremony occurs on the 15th day of the waxing moon of the third month (February), and is known as Makhabucha (see Glossary).

Starting at 9:00 a.m., the monks, in turn, r"
Ritual270,Rice Pagoda Ritual (Khawphrasajkhawphlyag),Synchronous Generic Movement,1,0,Coder1 Only,"The Rice Pagoda Ritual (Khawphrasajkhawphlyag): This ritual, involving the construction of a rice pagoda, is always held in the third lunar month (February) for a practical reason. The harvesting has "
Ritual271,Wissakhabucha Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Wissakhabucha: Wissakhabucha is celebrated on the 15th day of the waxing moon of the sixth lunar month (May). It is the last Buddhist ceremony prior to Lent, and perhaps the most important insofar as "
Ritual273,Special Ritual of the Wat Artist,Synchronous Generic Movement,1,0,Coder1 Only,"Special Ritual of the Wat Artist: The wat artist, each time he finishes a set of decorations to be used for the crematory, performs a small ritual. He lights joss-sticks and a candle, then sprinkles h"
Ritual282,"Pomblang Festival, Day 1 and 2",Synchronous Generic Movement,1,0,Coder1 Only,It is being held every year since the days of U Shillong who was supposed to be the founder of original Khyriem State. They celebrate it to perpetuate his memory and pay homage with a view to ensure r
Ritual285,The Rooster Sacrifice,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual286,Naming of the Child Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Ceremonies and Customs Attending Birth and Naming of Children

The Khasi birth ceremonies and customs are as follows:-- When a child is born the umbilical cord is cut by a sharp splinter of bamboo; no"
Ritual292,NA,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual296,Funeral,Synchronous Generic Movement,0,1,Coder2 Only,"Death of a Common Member

Introduction. The Ohgi[unknown] we is the only ceremony dedicated to all the dead of the nation collectively, and the rest of the observances discussed here concern either an"
Ritual299,Six Nations Convention,Synchronous Generic Movement,1,0,Coder1 Only,"The Six Nations Convention and Gaiwiio

After discussing the calendrical communal cycle and before discussing the shamanistic societies and practices, we must mention another main complex of the Longh"
Ritual3,Hundred Willow Sweat House,Synchronous Generic Movement,1,0,Coder1 Only,"The Hundred—Willow Sweathouse.

As stated before, a sweathouse of special form is constructed on the third day. This is said to have originated with Scar-face, it being the house into which he was tak"
Ritual300,Funeral,Synchronous Generic Movement,1,0,Coder1 Only,"Funerary Customs and Religious Symbolism Among the Kogi

Near the Caribbean seaboard in the northern lowlands of Colombia rises an isolated mountain massif, the Sierra Nevada de Santa Marta. At the ti"
Ritual303,Annual Ceremonies of the Dances of the Masks,Synchronous Generic Movement,0,1,Coder2 Only,"We shall now see how these annual ceremonies of the dances of the masks are performed. Once the day for the beginning of the ceremony has been determined by divination, the whole town is cleaned, and "
Ritual310,Ceremonial Collection of Bride Price,Synchronous Generic Movement,0,1,Coder2 Only,"In most societies the ceremony that marks the start of married life and is called a wedding, usually centers around the groom and the bride and their unification. One would seek such a wedding among t"
Ritual312,Pre-Juwo Ritual,Synchronous Generic Movement,0,1,Coder2 Only,"ECONOMIC CEREMONIES By far the most spectacular and elaborate Kapauku ceremony is juwo, “the pig feast.” This is a rather protracted affair comprising several major events and innumerable night dancin"
Ritual330,The Rice Harvest,Synchronous Generic Movement,1,0,Coder1 Only,"The Rie Harvest

When the rice ripens and is nearly ready to harvest, the introductory rites of matah padi take place. The tuai burong and family heads sit on a mat ( tikai ) at a point on the farm tr"
Ritual335,Fruit House Ritual,Synchronous Generic Movement,0,1,Coder2 Only,"In the Pirá-paraná region, the most frequently held communal dance or ritual involves bringing large quantities of wild or cultivated tree-fruit ( He rika ) into the house to the sound of the He instr"
Ritual336,Dance at the Fruit House,Synchronous Generic Movement,0,1,Coder2 Only,"The Dance

The overall pattern of the dance, consisting of a series of dance sets interspersed with sessions of chanting, is set out in table 2. What follows is a short account of the dance taken as a"
Ritual34,Slava ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"The Slava

THE Slava is exclusively a Serbian custom. It is not found even among the Croats and Bulgars. There is a proverb which runs, “Where there is Slava, there is the Serb” (Gde je slava, tu je S"
Ritual344,Senda Hwav,Synchronous Generic Movement,1,0,Coder1 Only,"Senda Hwav

This is a ceremony for “closing the fontanelle.” It is particularly popular in Iharev, but it is found throughout those areas of Tivland where we have worked. This ceremony is related to t"
Ritual351,Itembe Mku,Synchronous Generic Movement,1,0,Coder1 Only,"The Itimbe Mku

Outside most compounds near a path on the eastward side of the hamlet are to be seen rows of small posts of hardwood ( gbaye ) with the pointed or rounded tops, the male and female sym"
Ritual353,Akombo Agbande,Synchronous Generic Movement,1,0,Coder1 Only,"The Akombo Agbande

This rite is performed for a woman with child. The ceremony is as follows: The woman kneels on one knee before the performer of the rite. He takes a chicken and he touches her brea"
Ritual354,The Ingbianjol,Synchronous Generic Movement,1,0,Coder1 Only,"The Akombo Agbande

This rite is performed for a woman with child. The ceremony is as follows: The woman kneels on one knee before the performer of the rite. He takes a chicken and he touches her brea"
Ritual36,Death ritual (first formal offerings),Synchronous Generic Movement,1,0,Coder1 Only,"Minor Death Rituals

The first formal offerings for the dead coincide with the conclusion of their journey across the face of the earth, three or four days after death. The women of the household, som"
Ritual37,"Final death ceremony (""When we write with ashes"")",Synchronous Generic Movement,1,0,Coder1 Only,"""When We Write with Ashes""

The final death fiesta is more elaborate than any of the previous ones and ideally should be given at least three years (four years for females) after death but not before "
Ritual370,Mitewie Ceremony,Synchronous Generic Movement,0,1,Coder2 Only,"The Mitewie Ceremony

The Mitewie is a mysterious ceremony, rather of the nature of our Free Masonry, but with this remarkable difference that both sexes are equally admitted as members. Those who put"
Ritual379,Ritual to Bring Good Weather,Synchronous Generic Movement,0,1,Coder2 Only,"Ritual to Bring Good Weather

When bad weather, a snowfall or a rain storm, is threatening to begin or become worse, the counsellor orders that the chowh-toxen (‘water-cease’) rite be performed. In th"
Ritual392,"Nkumbo, Boys Initiation",Synchronous Generic Movement,1,0,Coder1 Only,"Village Initiations and Magic

Of all the ways in which the villagers attempt to assert some kind of control over the BaMbuti, the one which is the most significant, and which they consider to be the "
Ritual393,Abo Lese,Synchronous Generic Movement,1,0,Coder1 Only,"Another important sacrifice is made for the re-opening of the forest ( abo lese or sulia ). Continuously bad hunting may be attributed to the anger of the God of the Undergrowth, caused by some indivi"
Ritual394,Weather Invocation,Synchronous Generic Movement,1,0,Coder1 Only,"Invocations usually concern the weather (requests for a storm to pass over speedily or to be diverted) and are often accompanied by the blowing of the segbe magic pipe, indicating with the arm the dir"
Ritual395,Food Offering,Synchronous Generic Movement,1,0,Coder1 Only,All Mbuti are said by Schebesta to offer a portion of food to the God of the Undergrowth. We can take this to apply to the archers. The practice seems to concern only food that has been hunted or gath
Ritual4,NA,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual409,Denjaringa Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"When it has been decided that an illness is either the bimarima or kambépéa, pigs and even cattle may have to be offered in sacrifice for the recovery of the patient; and in the case of a man of wealt"
Ritual422,Sacred Rites of Planting,Synchronous Generic Movement,1,0,Coder1 Only,"The next morning everyone of the yam group had to be awake long before dawn, for this was the day of planting. I was told “the yam is planted in the night” -- a statement too near truth for my comfort"
Ritual429,Friday Prayer,Synchronous Generic Movement,0,1,Coder2 Only,"During my stay in the village some of the prescribed key Islamic rituals, such as Ramadan, were mainly performed and observed by the women. However, some Islamic rituals are “obligatory” for men only "
Ritual43,Native Fiestas,Synchronous Generic Movement,1,0,Coder1 Only,"Native Fiestas

The native fiestas are those which involve the Tarahumara’s daily home life, as contrasted to the church fiestas, which are performed at the church on the Catholic holy days. The disti"
Ritual438,Return of Statue Procession,Synchronous Generic Movement,1,0,Coder1 Only,"One week after the Patron Saint’s day when the statue was brought down the hill to spend a week in the great church, there is a processional to return the statue to its church. This begins with he lat"
Ritual439,NA,Synchronous Generic Movement,1,0,Coder1 Only,-
Ritual44,Curing Fiestas,Synchronous Generic Movement,1,0,Coder1 Only,"Curing Fiestas

In order to illustrate some of the things mentioned before in this chapter, the following fiesta is described in some detail. Although the natives said that this was to be a fiesta for"
Ritual444,Indio Bárbaro Procession,Synchronous Generic Movement,0,1,Coder2 Only,"12/23/82: Beginning of the Christmas season, marked by an indio bárbaro procession. We were awakened at 6:30 a.m. by the sound of drums coming down the street. The procession was led by a man dressed "
Ritual447,New Year's Eve,Synchronous Generic Movement,0,1,Coder2 Only,"12/31/82–1/1/83: New Year's Eve. Punta dances accompanied by singing and drumming were held all night long in the two club salons. At midnight, a candlelight prayer session in Spanish was conducted in"
Ritual448,Día de los Reyes,Synchronous Generic Movement,0,1,Coder2 Only,"1/6/83: Día de los Reyes (Day of the Kings, Epiphany). A coropatillas (chorus of devils) masquerade dance began in the early afternoon. Ten males (seven men, three boys) in costume participated, accom"
Ritual449,Indio Bárbaro Procession,Synchronous Generic Movement,0,1,Coder2 Only,"1/15/88: End of the Christmas season, indio bárbaro procession. This event occurred in the afternoon. The single male dancer wore a black shirt, black pants, and a tight fitting black sweater cap. In "
Ritual45,Rain Fiesta,Synchronous Generic Movement,1,0,Coder1 Only,"Rain Fiesta

Since the Tarahumaras are chiefly an agricultural people, most of the native fiestas pertain to the crops and their outcome. The treatment of the fields does not omit the “curing” ceremon"
Ritual452,Viernes Santo (Event 2),Synchronous Generic Movement,1,0,Coder1 Only,"4/1/83: Viernes Santo (Good Friday). Three events occurred on this day.

2) Santo Entierro (Holy Funeral). This procession began at the church around 4:30 p.m. The focus of the procession was a glass "
Ritual454,Velada for San Antonio,Synchronous Generic Movement,0,1,Coder2 Only,6/12/83: Velada for San Antonio (St. Antony of Padua). The velada began at 6:00 p.m. in the home of a woman who said that she sponsored this event every year. I was told that two other veladas would b
Ritual455,Moros v Cristianos Dance,Synchronous Generic Movement,0,1,Coder2 Only,7/13/83: Moros v Cristianos dance (Moors and Christians). This event occurred around 4:30 p.m. in front of the Catholic church. There were 16 participants and a five-member band. The moros included on
Ritual458,Afternoon Procession for the Virgin del Carmen,Synchronous Generic Movement,1,0,Coder1 Only,"7/16/83: Afternoon procession for the Virgin del Carmen. At 5:00 p.m. four women carried the Virgin out of the church and into the street where another procession formed. The band went first, followed"
Ritual459,Velada for San Miguel,Synchronous Generic Movement,1,0,Coder1 Only,9/27/83: Velada for San Miguel (St. Michael the Archangel). During the day one of my neighbors placed a small metal tray and a picture of San Miguel slaying a dragon on a chair set against the outside
Ritual462,Wake for a Man in Triunfo de la Cruz,Synchronous Generic Movement,0,1,Coder2 Only,Wake for a Man in Triunfo de la Cruz: This ceremony was held for an old man who had died the previous morning. Approximately 150 people attended. The coffin was placed in the living room of the deceas
Ritual463,"Wake, Funeral, and Burial for a Santa Fe Man",Synchronous Generic Movement,0,1,Coder2 Only,"Wake, Funeral, and Burial for a Santa Fe Man: This was a somber, formal affair in all respects. Death occurred at 1:30 a.m. in the Trujillo hospital, after which the body of the deceased was transferr"
Ritual464,Novenas,Synchronous Generic Movement,0,1,Coder2 Only,"Novenas

During the fieldwork, I observed seven novenas although I was only able to attend three of them completely. For the others I was present for the first day (one novena); the ninth day prayer s"
Ritual465,Nightly Prayer Sessions During Novena,Synchronous Generic Movement,0,1,Coder2 Only,"Novenas

During the fieldwork, I observed seven novenas although I was only able to attend three of them completely. For the others I was present for the first day (one novena); the ninth day prayer s"
Ritual467,Chugú,Synchronous Generic Movement,0,1,Coder2 Only,"Chugú and düg□ differ from the preceding rituals in a number of respects. They require the services of a shaman, who helps the living communicate with the spirit who demands these rituals. In both cas"
Ritual469,Araíraguni,Synchronous Generic Movement,0,1,Coder2 Only,"Chugú and düg□ differ from the preceding rituals in a number of respects. They require the services of a shaman, who helps the living communicate with the spirit who demands these rituals. In both cas"
Ritual47,Yumari,Synchronous Generic Movement,1,0,Coder1 Only,"Many of the Tarahumaras-at the present time use the terms dutubúri and yúmari interchangeably. However, a ceremonial dance was performed at the end of most fiestas which was so definite that I describ"
Ritual472,Peyote Rituals,Synchronous Generic Movement,1,0,Coder1 Only,"Mike Kiyaani's Description of Ritual

Before the meeting, the family or the person who wants a meeting asks the road chief to perform it. Either the road chief or the family can set the date. [At this"
Ritual478,Embahi 'Separation' Ceremony,Synchronous Generic Movement,1,0,Coder1 Only,"Initiation Ceremonies

THE course of initiation ceremonies has been already summarized in Chapter VII. Except in reference to the southern tribes, where there are esoteric objects such as the bull-roa"
Ritual481,Jage,Synchronous Generic Movement,0,1,Coder2 Only,"A few days prior to the actual gorukari, or emergence of the widow, the principal man of the village performs an interesting rite called jage or ‘hailing’. Soon after dusk the people of the village ar"
Ritual482,Doru,Synchronous Generic Movement,0,1,Coder2 Only,"A number of people will have assembled to witness this formal reappearance of the widow, or doru. As so often on such occasions one and the same ceremony may suffice for a number of candidates, so tha"
Ritual483,Kasamba,Synchronous Generic Movement,0,1,Coder2 Only,"Ritual and Practice

The singing, drum-beating, and feasting—no very exacting ceremonies—which constitute the chief ritual of the Taro cult, are together known as kasamba. The word is one of those mad"
Ritual486,Kava-Keva Rites,Synchronous Generic Movement,0,1,Coder2 Only,"1. THE “KAVA-KEVA” RITES.—Boninia is an elderly native of Taututu, one of the villages of the Dowai-ia division of the Binandere tribe, on the lower Mamba River. He was a man of no reputation as a mag"
Ritual49,The Wake,Synchronous Generic Movement,1,0,Coder1 Only,"During the night the body is ‘watched’ by male relatives and friends and the closest adult female relatives. At least one of these persons, almost always male, maintains a vigil by the side of the bod"
Ritual494,Special Kava Ceremony Associated with Wedding,Synchronous Generic Movement,0,1,Coder2 Only,"Marriage Ceremony

The patterns governing the marriage ceremony in the village today show a natural blending of the old and the new. This may be best emphasized by outlining the formal marriage ceremo"
Ritual5,Cutting of Sun Pole,Synchronous Generic Movement,1,0,Coder1 Only,"The Dancing Lodge.

The dancing lodge may be said to take its origin on the fourth day, by which time the medicine woman has her tipi in place near its site and the camp circle has been formed. In con"
Ritual50,Lifting and Procession to Chapel,Synchronous Generic Movement,1,0,Coder1 Only,"The 'Lifting' and Procession to Chapel

On the afternoon following the wake, usually at about 4.0 o'clock, relatives and friends in large numbers gather at the house for the ceremony of the ‘lifting’ "
Ritual500,Nahanamu,Synchronous Generic Movement,0,1,Coder2 Only,"The Nahanamu Ritual Complex

The cycle of the nahanamu ritual begins with the priest-shaman's dream, in which the kanobo appears to him during the night and tells him: “I am coming amongst you all. No"
Ritual505,Wedding; Preliminary Ceremonies,Synchronous Generic Movement,1,0,Coder1 Only,"Preliminary Ceremonies

According to Hedayat, there must be no basement beneath the room chosen for the contract. The women who are there should not have had any recognized misfortune, should have no "
